user,restaurant,rating,comment
larry41,Barbeque Nation,4,Delivery was late
ofisher,Subway,4,Excellent food
cgould,KFC,1,Will order again
ramseypaul,Dominos,4,Excellent food
imann,Subway,1,Delivery was late
barreratina,Dominos,1,Will order again
dunderwood,Dominos,2,Delivery was late
hsantiago,Subway,4,Delivery was late
michael38,McDonalds,4,Loved the service
ashley43,Dominos,1,Excellent food
calvinewing,McDonalds,3,Good packaging
curryaustin,A2B,3,Delivery was late
schaeferchristie,Subway,1,Average experience
elijah94,Barbeque Nation,1,Average experience
contrerasrobert,Dominos,4,Will order again
hawkinsdavid,Barbeque Nation,4,Will order again
osantos,McDonalds,2,Good packaging
johnsondavid,Barbeque Nation,5,Food was cold
slam,A2B,4,Will order again
bbyrd,KFC,1,Very tasty
charles76,KFC,5,Will order again
inunez,McDonalds,2,Very tasty
edwardskathy,Barbeque Nation,2,Average experience
waltersterri,Subway,4,Excellent food
fflores,Dominos,4,Food was cold
peterhaley,A2B,4,Will order again
mirandashane,Dominos,1,Good packaging
bross,KFC,1,Will order again
gsolis,Dominos,4,Very tasty
kimberlylopez,McDonalds,1,Very tasty
fredbryan,Dominos,5,Good packaging
benjamin49,KFC,5,Very tasty
scottrachel,Dominos,5,Delivery was late
lbenjamin,Subway,1,Delivery was late
wilsonthomas,Barbeque Nation,4,Will order again
hessmartha,Dominos,2,Food was cold
davidmcconnell,Barbeque Nation,3,Very tasty
robin29,KFC,1,Average experience
matthewjennings,McDonalds,4,Will order again
tford,A2B,3,Very tasty
christopher12,Subway,5,Excellent food
torresheather,McDonalds,3,Loved the service
johntorres,Dominos,4,Loved the service
michaelthomas,KFC,5,Excellent food
dharris,KFC,3,Food was cold
taylorflores,Dominos,2,Loved the service
acostabeth,McDonalds,1,Food was cold
lance33,Barbeque Nation,5,Will order again
hursttheresa,Barbeque Nation,3,Will order again
stonematthew,Subway,5,Delivery was late
hartkevin,Dominos,3,Loved the service
dcurry,Subway,1,Will order again
briangentry,Subway,4,Will order again
darrencollins,KFC,2,Very tasty
hannah17,McDonalds,5,Very tasty
carriehudson,KFC,3,Food was cold
andrewhernandez,A2B,1,Will order again
galexander,Barbeque Nation,4,Good packaging
orozcojennifer,Subway,5,Will order again
victoriawelch,Barbeque Nation,1,Good packaging
marywright,McDonalds,2,Good packaging
mark63,McDonalds,1,Good packaging
djohnson,McDonalds,4,Will order again
jenniferroberts,Barbeque Nation,4,Delivery was late
seanlong,Subway,3,Will order again
jasonrobinson,Dominos,4,Delivery was late
bcunningham,McDonalds,4,Very tasty
zbaker,Barbeque Nation,3,Will order again
justinpark,A2B,2,Very tasty
amanda45,A2B,4,Food was cold
donblake,KFC,5,Very tasty
diana46,A2B,2,Good packaging
jennifergarza,Barbeque Nation,3,Excellent food
stephaniecarter,McDonalds,3,Delivery was late
kevin47,KFC,3,Good packaging
wmcdonald,Subway,2,Average experience
harold70,McDonalds,4,Will order again
nicolenorman,Barbeque Nation,1,Will order again
sjordan,Subway,5,Average experience
ljensen,KFC,2,Loved the service
twells,McDonalds,2,Food was cold
brandypage,A2B,2,Loved the service
jennifer10,KFC,4,Very tasty
cassandrahenry,A2B,3,Food was cold
lindsey49,Dominos,2,Loved the service
leonard57,Barbeque Nation,5,Very tasty
josephtaylor,A2B,3,Delivery was late
hermannancy,Dominos,5,Excellent food
martinezashley,Dominos,2,Average experience
kimberlytaylor,Dominos,4,Average experience
josephbaldwin,KFC,4,Very tasty
eric46,KFC,1,Very tasty
roger51,A2B,3,Good packaging
kimberly57,KFC,1,Loved the service
uponce,KFC,4,Average experience
mccarthyjessica,KFC,2,Will order again
eric27,A2B,2,Excellent food
silvamike,McDonalds,1,Good packaging
lpalmer,Subway,5,Average experience
omurphy,Dominos,2,Delivery was late
