category,region,value,sales,date
A,North,10,100.5,2024-01-01
B,South,20,200.0,2024-01-02
C,East,30,300.0,2024-01-03
D,West,40,400.0,2024-01-04
E,North,50,500.0,2024-01-05
F,South,60,600.0,2024-01-06
G,East,70,,2024-01-07
A,North,25,250.0,2024-02-01
B,South,35,350.0,2024-02-03
C,East,45,450.0,2024-02-05
D,West,55,,2024-02-07
E,North,65,650.0,2024-02-09
F,South,75,750.0,2024-02-11
G,East,85,850.0,2024-02-13
H,Central,90,900.0,2024-02-15
I,North,15,150.0,2024-03-01
J,South,28,280.0,2024-03-03
A,North,55,550.0,2024-03-05
B,South,65,650.0,2024-03-07
C,East,75,750.0,2024-03-09
D,West,85,850.0,2024-03-11
E,North,95,950.0,2024-03-13
F,South,45,450.0,2024-03-15
G,East,35,350.0,2024-03-17
H,Central,60,,2024-03-19
I,North,70,700.0,2024-04-01
J,South,80,800.0,2024-04-03
A,North,100,1000.0,2024-04-05
B,South,110,1100.0,2024-04-07
C,East,120,1200.0,2024-04-09
D,West,130,1300.0,2024-04-11
E,North,140,1400.0,2024-04-13
F,South,150,1500.0,2024-04-15
G,East,160,1600.0,2024-04-17
H,Central,170,1700.0,2024-04-19
I,North,180,,2024-05-01
J,South,190,1900.0,2024-05-03
A,North,200,2000.0,2024-05-05
B,South,210,2100.0,2024-05-07
C,East,220,2200.0,2024-05-09
D,West,230,2300.0,2024-05-11
E,North,240,2400.0,2024-05-13
F,South,250,2500.0,2024-05-15
G,East,260,2600.0,2024-05-17
H,Central,270,2700.0,2024-05-19
A,North,200,2000.0,2024-05-05
